Nama Wisata,final_text,score,sentiment
Kenjeran Park,ok,3,netral
Kenjeran Park,ramai kunjung keluarga,5,positif
Kenjeran Park,udah sepi orang nyekar enak aja duduk santai,1,negatif
Kenjeran Park,bagus banget kayak bengkalai,3,netral
Kenjeran Park,santai bagus tempat uang masuk dgn taxi online drop off panggil taxi online jeput harga jemput tiket masuk rp harga org tkaut kujung kesana,5,positif
Kenjeran Park,abandoned park nothing interesting,3,netral
Kenjeran Park,akurat arah,3,netral
Kenjeran Park,wisata uda gak layak aja ditiketin aja,1,negatif
Kenjeran Park,air kolam bersih kamar mandi musola main bersih karyawan ramah ramai sepi bikin nyaman ramai nyaman renang,5,positif
Kenjeran Park,weirdest place ive ever paid entrance for its basically a collection of abandoned buildings most attractions were closed so you basically pay the entrance fee to see the temple,3,netral
Kenjeran Park,wisata pantai waterpark boom sentra pasar olah ikan laut,1,negatif
Kenjeran Park,bagus,5,positif
Kenjeran Park,kemarin overall masij bagus pandang,3,netral
Kenjeran Park,destinasi wisata lebendari eks tempat luas banget wahana yangbisa kunjung anakanak orang dewasa cocok wisata kesini istilah wisata keluarga masuk tiket jangkau fasilitas tunjang wisata komplet suka selfi spot foto,5,positif
Kenjeran Park,hibur legend surabaya,3,netral
Kenjeran Park,tolong baru sistem nya ruwet,3,netral
Kenjeran Park,mahal ruwet,1,negatif
Kenjeran Park,ruwet alas e gak masuk akal tiket gak ad penjelaaan pegawai karcis ruwettt,5,positif
Kenjeran Park,viewnya bagus wahana spot spot foto jadi pariwisata kolam renang bagus kolam arus dewasa anak anak bagus rekreasi keluarga,5,positif
Kenjeran Park,hibur keluarga cuman kelola dgn,5,positif
Kenjeran Park,recomended kenjeran park kenpark destinasi wisata legendaris surabaya tawar konsep segar agam daya tarik utama padu wisata alam pantai spiritual klenteng megah wahana hibur luas senang kunjung daya tarik utama arsitektur klenteng megah ikon utama kenpark klenteng sanggar agung kuil dewi kwan im pagoda tian ti arsitektur klenteng sanggar agung megah patung dewi kwan im hadap laut pagoda tian ti temple of heaven beijing spot foto wajib kunjung view laut jembatan suramadu nikmat pandang selat madura cari siluet jembatan suramadu megah jauh view indah sore wahana rekreasi wisata heritage kenpark sedia wahana main cek operasi area pantai main air pasir cocok anggota keluarga anakanak dewasa fasilitas akses tempat mudah akses area parkir sedia luas rombong weekend fasilitas toilet mushola sedia tips manfaat unjung kunjung baik sore udara panas nikmat sunset latar klenteng jembatan suramadu fotografi klenteng sanggar agung pagoda tian ti spot wajib foto kena pakai nyaman jalan akses biaya masuk kena gerbang utama biaya tambah wahana spesifik kenjeran park destinasi serba tawar indah arsitektur suasana tepi laut wahana rekreasi surabaya sempurna habis luang keluarga rekomendasi wisata sore kesan,5,positif
Kenjeran Park,sers,3,netral
Kenjeran Park,not good,5,positif
Kenjeran Park,ketemu lumpur bagus foto beli makan harga ya kelola dgn tip jd wisata yg bs andal,5,positif
Kenjeran Park,jos jis hbs refresh engine sip gunungsari standart banter jos jis poko sip gunung sari layan puas poll,5,positif
Kenjeran Park,wisata legenda jaman an sayang skrg gak awat,5,positif
Kenjeran Park,seru banget wahana tarik next time bareng keluarga,5,positif
Kenjeran Park,pas manas,3,netral
Kenjeran Park,amazink,3,netral
Kenjeran Park,nice place to walk around exercise and chat with friends and family too bad it looks deserted on a saturday weekend like this hopefully soon it will be lively,5,positif
Kenjeran Park,kenjeran park dufannya surabaya lokasi jalan sukolilo desa sukolilo camat bulak kenpark kenal taman rekreasi keluarga populer jawa timur wahana main waterboom atlantis land dino land ulas google unjung kenpark awat fasilitas bengkalai bangun awat kenpark serama,5,positif
Kenjeran Park,drop anak renang tinggal pas jemput kena tiket k bayar renang k anak nungguin aja bayar k kena parkir mobil,1,negatif
Kenjeran Park,hidup bamgkit rame yok,3,netral
Kenjeran Park,mampir tiket masuk rp dalam lengang sepi weekend masuk kolam renang htm orang parkir mobil tiket parkir fotokopi hehe suasana sepi kilas sdh alih fungsi tinggal moga depan ramai sayang luas daya,1,negatif
Kenjeran Park,surabaya kota jawa timur,3,netral
Kenjeran Park,kesini wohh bagus banget ya lumayan,5,positif
Kenjeran Park,refresing renang mantap,3,netral
Kenjeran Park,muantap panas e seru ombo seng iki ombo,3,netral
Kenjeran Park,nya enaksejukdan lirir,3,netral
Kenjeran Park,main kesini pas acara cb hot surabaya lokasi bersih ramai,5,positif
Kenjeran Park,dirty creepy empty but very expensive ticket,3,netral
Kenjeran Park,wisata kenpark salah wisata alam kota surabaya ada legend lahir iring jalan kenpark awat management kenpark usaha hidup area wisata dalm minat unjung tutup mangkrak area lantar kondisi bangun bagus awat kes jorok management minimal rawat area nya kes jorok,5,positif
Kenjeran Park,sepi perhati pemkot,1,negatif
Kenjeran Park,very strange place looks like the parkmachines are not maintained anymore but there are still few people around and you need to pay entrance fee of idr if you want to enter the kenjeran park area even if you just here to visit the sanggar agung temple park is in very bad condition,3,netral
Kenjeran Park,acara gojek kenjeran,3,netral
Kenjeran Park,awat,5,positif
Kenjeran Park,tempat luas ramai cocok suka jogging dar bermainmain,5,positif
Kenjeran Park,salah destinasi wisata alam surabaya ramah lingkung ramah kantong,1,negatif
Kenjeran Park,sepihari minggu sepi main sepi yg tdk awat kayak kayak hutan yg tdk orgpantainya jg surut trus libur dsanaklo mmg sdh tdk bs kelola kenpark mending tutup ajakrn kasihan nnt org yg cm lihat yg tdk awat,3,netral
Kenjeran Park,enak ajak keluarga wisata,5,positif
Kenjeran Park,bawa drone dsini,3,netral
Kenjeran Park,bareng teman kuliah sekian nikmat angin laut jalan tepi pantai cocok santa keluarga nikmat suasana pesisir,5,positif
Kenjeran Park,kesini ber yg kya kya bus trans semanggi bungur kenpark muter kereta odong keliling kenpark rb tiket masuk kenpark rb kondisi sepi weekend orang yg sembahyang patung yg belah barat kuil patung naga nya warung buka kuil kawasan kya kya tutup area kes awat trus brenti atlantis buka jam unjung moga ramai,3,netral
Kenjeran Park,balap jaman biyen rek,3,netral
Kenjeran Park,baguss,3,netral
Kenjeran Park,tempat bagus benda sejarah lihat film china kera sakti lihat nyata,5,positif
Kenjeran Park,kumuh,3,netral
Kenjeran Park,joss,3,netral
Kenjeran Park,its a fun place to go even if the place has no visitors to none its still fun to go around the park since it has a lots of relics and unique stuff no other park in surabaya has,3,netral
Kenjeran Park,seru bagus neng bawa bocil bocil,5,positif
Kenjeran Park,rumah,3,netral
Kenjeran Park,istimewa,3,netral
Kenjeran Park,sepi tolong baru,1,negatif
Kenjeran Park,beda tempat kenpark klenteng nya wahana atlantis land pas libur sepi unjung tuju klenteng tabur bunga klenteng bagus indah parkir klenteng tulis banner parkir gratis pulang nya tarik uang parkir htm masuk kenpark orang kena biaya awat kes angker surem arena spot main anak dewasa tambahin kayak seluncur taman bunga taman kelinci taman ayun dokar taman baca unjung malas jalan keliling sedia mobil boogie tarif angkut rendah sedia sentra kuliner depan harap,1,negatif
Kenjeran Park,mantap jiwa,5,positif
Kenjeran Park,kayak bengkalai,1,negatif
Kenjeran Park,muas,5,positif
Kenjeran Park,destinasi wisata area surabaya fresh air pohon pohon rindang nan teduh pandang laut utara jawa cicip abeka jajan umkm masyarakat,1,negatif
